2013-12-09 21:39:11 trigproc man-db:amd64 2.6.5-2 2.6.5-2
2013-12-09 21:39:11 status half-configured man-db:amd64 2.6.5-2
2013-12-09 21:39:12 status installed man-db:amd64 2.6.5-2
2013-12-09 21:39:12 startup packages configure
2013-12-09 21:39:12 configure libgeoip1:amd64 1.6.0-1 <none>
2013-12-09 21:39:12 status unpacked libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:12 status half-configured libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:12 status installed libgeoip1:amd64 1.6.0-1
2013-12-09 21:39:12 status triggers-pending libc-bin:amd64 2.17-97
2013-12-09 21:39:13 configure libxml2:amd64 2.9.1+dfsg1-3 <none>
2013-12-09 21:39:13 status unpacked libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:13 status half-configured libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:13 status installed libxml2:amd64 2.9.1+dfsg1-3
2013-12-09 21:39:13 configure libisc95:amd64 1:9.9.3.dfsg.P2-4 <none>
2013-12-09 21:39:13 status unpacked libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 status half-configured libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 status installed libisc95:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 configure libdns99:amd64 1:9.9.3.dfsg.P2-4 <none>
2013-12-09 21:39:13 status unpacked libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 status half-configured libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 status installed libdns99:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:13 configure libisccc90:amd64 1:9.9.3.dfsg.P2-4 <none>
2013-12-09 21:39:13 status unpacked libisccc90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:14 status half-configured libisccc90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:14 status installed libisccc90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:14 configure libisccfg90:amd64 1:9.9.3.dfsg.P2-4 <none>
2013-12-09 21:39:14 status unpacked libisccfg90:amd64 1:9.9.3.dfsg.P2-4
2013-12-09 21:39:14 status half-configured libisccfg90:amd64 1:9.9.3.dfsg.P2-4
